#speed,pressure
:2016-06-15 103010403-0500:132.41564384444445, 68345.21304761336
:2016-06-15 103010349-0500:132.36127221111113, 68345.17918372696
:2016-06-15 103010296-0500:132.30839761111113, 68345.14531984055
:2016-06-15 103010242-0500:132.2549416888889, 68345.11145595416
:2016-06-15 103010189-0500:132.20183044444445, 68345.07759206774
:2016-06-15 103010137-0500:132.1494702888889, 68345.00986429493
:2016-06-15 103010086-0500:132.09841682222222, 68344.97600040854
:2016-06-15 103010035-0500:132.04739422222224, 68344.94213652214
:2016-06-15 103009985-0500:131.99809501111113, 68344.90827263573
:2016-06-15 103009936-0500:131.94854886666667, 68344.87440874933
:2016-06-15 103009886-0500:131.8982156222222, 68344.80668097653
:2016-06-15 103009837-0500:131.8496417777778, 68344.80668097653
:2016-06-15 103009789-0500:131.80120683333334, 68344.77281709012
:2016-06-15 103009741-0500:131.7538265, 68344.7050893173
:2016-06-15 103009694-0500:131.70682171111113, 68344.7050893173
:2016-06-15 103009647-0500:131.65999697777778, 68344.67122543091
:2016-06-15 103009601-0500:131.61414454444446, 68344.6373615445
:2016-06-15 103009566-0500:131.57831863333334, 68348.73489179931
:2016-06-15 103009536-0500:131.54842941111113, 68348.73489179931
:2016-06-15 103009506-0500:131.51833955555557, 68348.66716402651
:2016-06-15 103009458-0500:131.4711289888889, 68348.39625293529
:2016-06-15 103009410-0500:131.42261687777778, 68347.92215852563
:2016-06-15 103009361-0500:131.3738424, 68347.38033634318
:2016-06-15 103009314-0500:131.32684275555556, 68346.80465027432
:2016-06-15 103009267-0500:131.27998201111112, 68346.29669197826
:2016-06-15 103009223-0500:131.23553401111113, 68345.89032534143
:2016-06-15 103009180-0500:131.1926807888889, 68345.61941425019
:2016-06-15 103009138-0500:131.15048091111112, 68345.41623093179
:2016-06-15 103009097-0500:131.1092944888889, 68345.28077538617
:2016-06-15 103009056-0500:131.068355, 68345.17918372696
:2016-06-15 103009016-0500:131.0290463, 68345.11145595416
:2016-06-15 103008976-0500:130.98844634444447, 68345.04372818134
:2016-06-15 103008937-0500:130.94993503333333, 68344.94213652214
:2016-06-15 103008900-0500:130.91304936666668, 65923.36948370069
:2016-06-15 103008881-0500:130.89396862222225, 63533.188653575206
:2016-06-15 102948118-0500:110.13026033333334, 63536.541178329135
:2016-06-15 102933249-0500:95.26150405555556, 63542.80599731377
:2016-06-15 102934133-0500:96.14564371111112, 63570.84529525579
:2016-06-15 102935670-0500:97.68292717777778, 63651.068842145476
:2016-06-15 102937735-0500:99.7475162, 63776.39908572449
:2016-06-15 102940184-0500:102.19648782222222, 63939.99552093937
:2016-06-15 102942907-0500:104.91984353333334, 64135.220826055025
:2016-06-15 102945869-0500:107.88185516666667, 64359.704529023234
:2016-06-15 102949061-0500:111.07360225555556, 64613.920724253636
:2016-06-15 102952470-0500:114.48242432222223, 64899.088511656744
:2016-06-15 102956046-0500:118.05839967777779, 65214.32743018609
:2016-06-15 102959619-0500:121.63178223333334, 65551.84878596888
:2016-06-15 103002403-0500:124.41539996666667, 65866.07178790613
:2016-06-15 103004697-0500:126.70948265555556, 66138.81152899918
:2016-06-15 103006077-0500:128.09008177777778, 66342.84144457972
:2016-06-15 103006626-0500:128.6386801888889, 66462.95664965262
:2016-06-15 103006823-0500:128.83576385555557, 66520.05116212877
:2016-06-15 103006985-0500:128.99752576666668, 66548.25977950281
:2016-06-15 103006863-0500:128.87605, 66554.35527905542
:2016-06-15 103006717-0500:128.7294384777778, 66544.43316033922
:2016-06-15 103006648-0500:128.66050292222224, 64139.318356309836
:2016-06-15 103006653-0500:128.66617724444447, 64142.501561631754
:2016-06-15 103006758-0500:128.7704294111111, 64152.55913589357
:2016-06-15 103006944-0500:128.95632905555556, 64172.03087057553
:2016-06-15 103007208-0500:129.22111361111112, 64199.35902690308
:2016-06-15 103007532-0500:129.5444110777778, 64236.3045269692
:2016-06-15 103007737-0500:129.74944805555558, 64280.666218157676
:2016-06-15 103007956-0500:129.96827214444446, 64330.03976453384
:2016-06-15 103008180-0500:130.19280656666666, 64381.03877745738
:2016-06-15 102947591-0500:109.60401453333334, 64394.75365145076
:2016-06-15 102942650-0500:104.6628168, 64406.40282837354
:2016-06-15 102943102-0500:105.11453503333334, 64440.26671477694
:2016-06-15 102943578-0500:105.59022637777778, 64483.5447616005
:2016-06-15 102944131-0500:106.14349594444445, 64534.78082172886
:2016-06-15 102944683-0500:106.69559257777779, 64588.387353905455
:2016-06-15 102944959-0500:106.97178751111112, 64633.93428111805
:2016-06-15 102945198-0500:107.21044857777778, 64663.97154835787
:2016-06-15 102945237-0500:107.24928913333335, 64687.506949408235
:2016-06-15 102944996-0500:107.00908473333334, 64688.0826354771
:2016-06-15 102944735-0500:106.74754632222223, 64676.70436964555
:2016-06-15 102944408-0500:106.42027734444446, 64659.39992369341
:2016-06-15 102944034-0500:106.04693472222222, 64637.21907809917
:2016-06-15 102943614-0500:105.62638667777779, 64610.60206338609
:2016-06-15 102943285-0500:105.29725541111112, 64585.17028469713
:2016-06-15 102943116-0500:105.12843017777779, 64570.20244690683
:2016-06-15 102943083-0500:105.09537197777779, 64567.42560822175
:2016-06-15 102943137-0500:105.14945037777778, 64574.19838550244
:2016-06-15 102943226-0500:105.23893284444445, 64586.42324849406
:2016-06-15 102943312-0500:105.32432033333335, 64600.30744191946
:2016-06-15 102943371-0500:105.38386727777778, 64613.175718752755
:2016-06-15 102943396-0500:105.40867378888889, 64623.5380679922
:2016-06-15 102943387-0500:105.39997453333334, 64630.98812300094
:2016-06-15 102943353-0500:105.36559421111113, 64635.79679487023
:2016-06-15 102943301-0500:105.31355301111111, 64638.64136132811
:2016-06-15 102943238-0500:105.25114575555556, 64640.131372329866
:2016-06-15 102943172-0500:105.18455606666667, 64640.94410560356
:2016-06-15 102943105-0500:105.11726673333334, 64641.4520638996
:2016-06-15 102943040-0500:105.0524518777778, 64641.96002219566
:2016-06-15 102942977-0500:104.98939127777778, 64642.603436037316
:2016-06-15 102942917-0500:104.92931960000001, 64643.41616931099
:2016-06-15 102942858-0500:104.87069865555556, 64644.36435813029
